domain,title,source_name,old_decision,old_reason,new_decision,new_reason,new_rank_score,new_materiality_score,new_relevance_terms,new_topic_anchor_terms,article_url
market,Blackbaud (BLKB) Looks Fully Valued As Guidance Holds And AI Push Builds - simplywall.st,simplywall.st,rejected,not on automated source allowlist,rejected,not on automated source allowlist,38.0,10.0,guidance,ai,https://news.google.com/rss/articles/CBMizAFBVV95cUxPMk8xa2RYWkhNc2dvNmFHZ1BYM1ZheTFNWXlIeDk4YmJYTmxDaWUwdnVhVWNXY2R1Y29wWmNJTWRaWnVENm9EeHp0dzBBdk1QR0FTb3FtNFdoVzRlaHhaMTJfUU1WTHdoc3cxal9NcGxCUFkyNTI1T0U4c2otdXBNekNFMEhNU2JqaDlOdC16TXZhcmt6TzhSUnkyQ0VacjBzclRWa2c4S1Y2VXkySlJsRWdBMjJsa1FJXzMxTEsyRWJaNWE5WEw5SDEzY2bSAcwBQVVfeXFMTzJPMWtkWFpITXNnbzZhR2dQWDNWYXkxTVl5SHg5OGJiWE5sQ2llMHZ1YVVjV2NkdWNvcFpjSU1kWlp1RDZvRHh6dHcwQXZNUEdBU29xbTRXaFc0ZWh4WjEyX1FNVkx3aHN3MWpfTXBsQlBZMjUyNU9FOHNqLXVwTXpDRTBITVNiamg5TnQtek12YXJrek84UlJ5MkNFWnIwc3JUVmtnOEtWNlV5MkpSbEVnQTIybGtRSV8zMUxLMkViWjVhOVhMOUgxM2Nm?oc=5
market,Figma (FIG) After Earnings Beat And AI Push Looks Fully Valued - simplywall.st,simplywall.st,rejected,not on automated source allowlist,rejected,not on automated source allowlist,55.5,17.0,earnings|beat,ai,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQdUt3OEVha0JxTkJkZTdubll4cUY5Z2p5eGhidWRUQlVNZzRta1F1RllUeDZ0MGJhMWtPWUxOallBd2dEVVYyZmctYjdMajdaSzBsNUM5aEwybl9sckZBV3JSVE5GTXE5c1RMVGNpQVZSRDk0VmZhdldiUGF4dVo3Zmp3UXQybHNZbXprb1lJcG5OWF9BbWVPejNRTkhVSnc3dWZ4Vm83TkxHSHZpUW1hbmhtMjFVdTZ0OUtRWEJZb3BoYWPSAcMBQVVfeXFMUHVLdzhFYWtCcU5CZGU3bm5ZeHFGOWdqeXhoYnVkVEJVTWc0bWtRdUZZVHg2dDBiYTFrT1lMTmpZQXdnRFVWMmZnLWI3TGo3WkswbDVDOWhMMm5fbHJGQVdyUlRORk1xOXNUTFRjaUFWUkQ5NFZmYXZXYlBheHVaN2Zqd1F0MmxzWW16a29ZSXBuTlhfQW1lT3ozUU5IVUp3N3VmeFZvN05MR0h2aVFtYW5obTIxVXU2dDlLUVhCWW9waGFj?oc=5
market,3 AI Stocks Retail Investors Are Watching Beyond Nvidia - simplywall.st,simplywall.st,rejected,not on automated source allowlist,rejected,not on automated source allowlist,13.0,0.0,stocks,ai|nvidia,https://news.google.com/rss/articles/CBMivAFBVV95cUxNQjlwS01aYlIzZjdYMjhKRHZHNUVBd01sbzc1NDdxSFg5bVFjQWRvT203Y1BmdkdiU3NoZ0xWaEItc0dWZ01UOGR3UEhZRUJWRU9QSGw4cDFvaXZXZllvM25fZGZLWUJxOGVNQmkzNDVDNzFtaUZVVndKVC15UnhoZU9ReFZLWU55dzJIakdmXzJSQjV2UlhjUVB4TVN5NlpBdjJRa2hhYTFJZFVZdjNJODZmV09ZT3Q0ODRaZ9IBwgFBVV95cUxPMV9MLXo1cXk3WlgyYVRHV2Jva0VodkpYYTVhT294NnBZWFFlWi14OEdJeEk0bW5wOVo1VGN4ZDFzdDYyUVBPMHZpOG11TTZNal9BZTRycHpFZ2Zzdkh2bHg4TWNMMTczV2dGOGcxYmdNM2xaUDdhV0N2bU03SjB2QTVHb2k3cm1kSXBLRnhqNXZ4RFp1V0JVMmlsZmlRa3FMQm5BUExNMld0Yldwa0ZKQU9IT0VHR2ZyenoxMWFFam1iQQ?oc=5
market,Intapp (INTA) Could Be 4% Undervalued Following Earnings And 2027 Guidance - simplywall.st,simplywall.st,rejected,not on automated source allowlist,rejected,not on automated source allowlist,69.0,20.0,earnings|guidance,,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNa2JuUFZqMHRhWGItME13NDdhaFdGVkNmaG1mV0k1OGYtalNRRjJuUV9MekFHODF4RlB6T3c1dTFPMzgzemdkNUZ2aHBCRmcwNkQwOV9sdGlpMWd3blBhV0cyaVVnQk1yZzJ5UWdkcHkxdWgyX0hYSGk0aWUxVjJUM29vNmhqVTJ3YWlCSHRzUmZzdzY1eWppcVhkbWxZdmJoRzhmeW9uZDRocVY3TWRnTnBpZzFoWl9WT3h2YVRnRWY5a0HSAcgBQVVfeXFMUEZDRjBUa010WUhzMjV5R0MwNG1qSVlodWJKZmpnemJhdGtLUjVPTnp4bGlkZmxscFpvY0N1aWp2TTlYZ1hXYUswaUpjd0hsZXVUU0NwWUlHY3dfMHlmNlRoc2NyLWhxY0x2SkhsU25id0ZnRF9BLW4wdHVSR1JlX1dhZGRjZkVOdFk4bHQzQ3laMWdTclZiT2VMeDBoT09qMFBaX0VKUWdocmd2Y1BmUHVqOVVQaGljVzFjcWFXcC1ZSm5ZNm1TaUg?oc=5
market,"Backblaze (BLZE) Following Earnings And Raised Guidance, Is The AI Story Already Fully Valued? - simplywall.st",simplywall.st,rejected,not on automated source allowlist,rejected,not on automated source allowlist,68.0,20.0,earnings|guidance,ai,https://news.google.com/rss/articles/CBMixwFBVV95cUxNZU5qY0lvbW9qX2ZWdlFsdU1rUDJseUxWRDFtZE81TFUwT1N6eW5mbUJNM0Rjd0VyNlVTdEF2a0FpTXBDQjhnb3pkZ2dlaWwzZUZsTFFzODBPYUxBTGRUY2gxTWRhSE5rZHFnZE1MV0lfNGV3U2RJeDlpWHExZjlnWWJmOGdJb20yOGFESFNOcWRhcFlnaFB4WE9uZG1DSDZscmJuRHV2eEFLeVJXellrcnZTT0tMLUROSjdMbTdoc1BKeEwzVFJZ0gHMAUFVX3lxTE4yYm5BaGc3dUExZ3J2aGFnbUhvdTZxOHN2ZUgzVWN1WU05d1lLWkg5MXFTUDBhVWZhaTdiMlh4MUdCUkIxQll4bnVURzVZT0ZhbUVSQUFzZjI5R2xjLW42dExGMm1CV3RxTG9FcFZMLVB6RVhia1g1WHhjMnJtQnN2bk56a3ViUjE3QkprWDdNNDJBSl9XVWI0MEFISTZQTmVRSHp2S2hmTWhIeXBPYUR0N2RlSlFqZVB6b1ZXUThLOGgzY0paNmV0Q1VGTA?oc=5
market,3 AI Stocks With Real Enterprise Software Growth Angles - simplywall.st,simplywall.st,rejected,not on automated source allowlist,rejected,not on automated source allowlist,11.0,0.0,stocks,ai|software,https://news.google.com/rss/articles/CBMivAFBVV95cUxQamwyQmprcWcxNHJIX2tQWm9RZzdaZmJHXzRSalV2dS1ETE5sY01VV2hNelNrTEU3cjhCQk9XaUdweVU5QjN6M3lrS2RITmwzeXJFR1FaLUNVY002RXBRWHJUenVmTjVwYWtaTk5acWpYU0d1SlFfeTlRbG5sUFBTb3JSSVliVU52dDRxdXhfUEM2eDExRjRjWHY3Y2NZekVfLUtjTHZfZWl4UnJuclUxZ09CekxkOWw4cFdNcdIBwgFBVV95cUxNLTNBNWtEMksxb3VOYzF2OUViaUI4ZWVoSWczX1NIYVVsbExmMWItSGtYME5jbFBvWGNDOS1fMmlnM2hzdmdvVmFQdjRCWGN2eW4tRHI0aGd0eDcydWo0YVR4ZUV4OEVJMXc0cUJBR3RNd3lPbnVvVUNUS3hHQXRVYTF2RVBhN2J4OGJlQzBDS3o2YUxsT2R0OGhYZ0IzS1d1SkJDdTd1TW9yeVExX3RuV2dtWW80VnhxNTVEZ3JralFhQQ?oc=5
market,3 AI Stocks Investors Are Watching In Enterprise Software - simplywall.st,simplywall.st,rejected,not on automated source allowlist,rejected,not on automated source allowlist,11.0,0.0,stocks,ai|software,https://news.google.com/rss/articles/CBMivwFBVV95cUxPNnN0LVJNLURTQm1VcmFsQU1XUWp3ZEQ1RWRPTVBxSV9sQVh4ZG5MQ1Z5ZXllNndfem1jWjEtejE4bW1FbFQ2RFc5WnlsX1lTcWFwczRtUEJBbmZ3WEtxVlhjTFZUN2w5bW43RVpndDJjVGFpVE1QbDZhd1lGWFppTi0yMUwyZEdhZno0RXBhSmxpd09SQjQyQnZmMHhydnlDbEJrS2tPZnlCQWlqeXZhT2xkSTViZlZERVE0MVVOUdIBxAFBVV95cUxPYUxFZHpFbDh5UGkyQnRNa3hVMHRfbHBIT2wtZi1jYTBTUlFHNGJaUldUTllmaWFGZ0tTdDBnY0liS3JYNDBqUlVSUHlQTlV2NWF3dlFvSzR3ZmxuNUM2bWhndjQxTkJwZTdQVzgtMnI0b0trTU01NFJTR1p3bkpJbWNxQ2dpVll3SExzRmREQVYyRU1oSEhzb3Z2R2ZTejhPN1RPX2d5U1FpaDZ3MGh2emZGMGFQQUpGMHVDS2RIXzNranZ4?oc=5
market,AI Stocks With Real Revenue From Chips Cloud And Enterprise Software - simplywall.st,simplywall.st,rejected,not on automated source allowlist,rejected,not on automated source allowlist,36.5,7.0,revenue|stocks,ai|cloud|software,https://news.google.com/rss/articles/CBMiygFBVV95cUxQNnhmYzRXOU8tQUVqMkZPaGlWdjdTTXFRQTQ3V29NbUlrUm5oSUtpSE1panphNFV6bmFUa3Z3VzY5SkpYZ0VQTEpzaUZyNFA5b2YtNEQtSU1JUnM0c2R5OHJQaFNvSUMxZFpBRHpaekEzbmFVYzR5bTVNbC1mcDhQeXhyV2h2ejI5UlpQbndjOEJWM3gtbHJfSXJWZXVZc3BFcXRhMXIxcXlSdTZQSjRIaGtoQ1d1Qm53ZUFsOFN2N2VsUmNPcnJLekZ30gHPAUFVX3lxTE9ZRjVTSnJvWEF4ZG01TlJKLWpfWXAyTllRVkxLMERSenRHbU5sSlpoSGxfS1NFNTBBeFd0SDdTMi1ySXdzRUdwSVhaYmN3YzZBbURrcnBzZy1STnhQQzRyTjlWTkFldnlncVhpT1FmM1V2UVo2bDhTUjBQZXdaT3ZiV2NYQ2V2T0szcUVSUC12RC1SX1RMSFBHcGNCck9RMWt5RVR1U0xyaHFBVHozTnFtZ0ZFVElERG02b0lRbEc4aDFJQ0doRUpDT2JLTXpoYw?oc=5
market,Onto Innovation Q2 Earnings Call Highlights - TradingView,TradingView,rejected,not on automated source allowlist,rejected,not on automated source allowlist,37.0,10.0,earnings,,https://news.google.com/rss/articles/CBMipwFBVV95cUxNS2E5c19oc1lsUVN2Qjh5SzN5U2dmLThuNXliUTg2ODdkTTRRaDFNVXdOdHY3ZkN0ZEhVX0VLMHc0R21YOFpkNndSdmpvYTBGM2dhQ202dmtFanE4Ui1DWUhibXROWmR4Ty1XcWItVFN1eHU5TmFNZHlYbndPa2plVHp4VTZHMmJweDNEeVBMZ1RfbzJOSS1ZbTZsUlNBQmNaTi1WMTk3OA?oc=5
market,Where to Invest in AI in 2026: A Guide for Advisors - TradingView,TradingView,rejected,not on automated source allowlist,rejected,not on automated source allowlist,5.0,0.0,,ai,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPYUlrckh2bnNzQjRYLTNiZ1haY1dxVExkdmw1VkxmTjB4by1PZEJqRDJMQnZEV3NuMlRLbU8wb055a1ZSV1FkaGtVaC04ZHo3UkgwOEZtSElUeXNsUHA0YXN2bEdyWC1NX054YXkzaVJzWDNNZUlJbDlBQmxFMFZCbWlheW1xZDMtZ1JJMk1Eb25YUWJjNUl4eXE1RGFJTWNrVG9EZ2U0MDRLLUE?oc=5
market,AI Investment Trends 2026: Top Stocks and Market Analysis - Intellectia AI,Intellectia AI,rejected,not on automated source allowlist,rejected,not on automated source allowlist,12.0,0.0,stocks|market,ai,https://news.google.com/rss/articles/CBMiY0FVX3lxTE1kV0dpWTRMZW5HVUk3TWx2RWhOaDFialhTZWdNamxQbWFyVWFfdlVpeTdwdjV5VjM2OHN5MzNMMkJZTDNhMXhDaUtYbmJhOEltWWhNZ0h1U1oxdTNxMm9Kb050bw?oc=5
market,A Guide to Nasdaq ETF Investing - The Globe and Mail,The Globe and Mail,rejected,not on automated source allowlist,rejected,not on automated source allowlist,5.0,0.0,,,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNNVJJZlB5czRfVm8xRnRDdmdBUFdnZy1wc0pjeHZ5dV9iakJaYnhsVlhDMVgzZThRRERfUzA4R2dGdE85ZUJmWnFaci01T1E2czItdGZEcmRwcVQ2ZlN2LWJFcUtXMGZpUUx3Q3pwMDhqQ2pKNTRmekNDeFdyY0M1OGFtSXQtLTlESGhxeVVnYjh2dWlZd21XdlE5R1ZqSV9ydlA2d3lIME0yZ0dLRUExdW1teFpSa0xE?oc=5
market,"Kinaxis (TSX:KXS) Lifts Guidance On Strong Q2, Is The AI Upside Already Priced In? - simplywall.st",simplywall.st,rejected,not on automated source allowlist,rejected,not on automated source allowlist,37.0,10.0,guidance,ai,https://news.google.com/rss/articles/CBMixwFBVV95cUxNa003OVA3cFF3Y2tmbjVYUkpyQWNFVXB3bm9wRUdXbDFialdqMFdGemxpeEdwVmRPc2szLTd2dUtKak1vOWlyZFdmZUV5S0h2QXpNRXIzLWJJQ2JBRG5fMFVpMlE1MDM4dXRFa3B3d0RqcUtqdVRVanFXOU1VUDlfUGdIRnhEczN1VjJleEZRbmIzNUxXVzd6QzJzQWNDWmZ1TVdwSDFhMkowMWxvQ3dPbjVCb3gxbGRhTllOU3RvZGFlZ2RXcG530gHMAUFVX3lxTE82UGRsQ1lxZG1jWU4za2R6RG8xU2VwckpkM0FKNmZ5Unl2dUhiOFM5cVR4dkIxcE5BV1ZYZ3l5U1NzcUc0bTV5QVpwTTJ4LXdDekZxa3VwMXlhSlI3OHdjMXpicDVQNzBuRlhGby11RVVjSjQxQmNzWVdQSXk5OGtNTkViMDJZQjFhRVd5NzVORUpMbjV4bHB2MUVNVXNtU01mTkFzVXR1V0dsalRzSm1DcTVPQjh6eGhURU1LdGJNSHNIdkZfc2c4SEJEbw?oc=5
market,Five earnings winners lead Friday’s premarket surge By Investing.com - Investing.com UK,Investing.com UK,rejected,not on automated source allowlist,rejected,not on automated source allowlist,36.0,10.0,earnings,,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQSmFYanhuSlJ2dGM0YWFaYmJORDRNU21lMEM4ZHdXMlctX0kzdGpabVJkdUs2aXFWUDMtNlVpSlFkOUhaRDZsV1hBS0RubHJPdEpPcDI2U0t5dUNNSThkSmQwUXRUQTlJVHlna0J4Z0lJWF9WeFd0Z29nLWdwcEQ4S2hHWDBBeGVTYmhadFNCRm8wNEdSY2NObW9NdDRjWmZ2TEMyNGpxc21oSzAyREpyZDdKWTVsdjQ3VFltblU0VVQ?oc=5
market,"Palantir vs. Salesforce: Two Visions of Enterprise AI, One Clear Winner - 24/7 Wall St.",24/7 Wall St.,rejected,not on automated source allowlist,rejected,not on automated source allowlist,7.0,0.0,,ai|palantir,https://news.google.com/rss/articles/CBMisgFBVV95cUxQVDQ2UzIwTlhvUGpCMUFjMzVOYWExeFZKRGdzVlNfZHA4NEVJS29vX3IyVnowNWs1M3RqXzJzcVdrbFZfWjNQQXU4RmVZUVZFUUp5dTJKc2xrbXV4ZENFT2RTTl9BS1BSeUg3SjhHdDlSMDQ3T3RsSWRic3BfZnZFYWtGWG5oQmJpa0Y0N3dadlZ0ZXJoc1piR29VdFc5RzBEUWJLemsyM3pMcWFDMmRGYW5B?oc=5
market,Are ADI’s AI Bets And Supply Resilience Quietly Redefining Its Multi-Year Earnings Story? - simplywall.st,simplywall.st,rejected,not on automated source allowlist,rejected,not on automated source allowlist,38.0,10.0,earnings,ai,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQaVN5c1lBN3JOTkI4YkN6Ymd2cjFpaVB4akY4bDJnQ2R2Q01IVEt5R0lDcHRPT2ZUY2tOd2I5R2J4RnVTZ3J2R1VrOUtKNWQyRzg2c0NnSHhPMkhXOUZOMzIwcXgyS0tCVzhUeEZ3Tl9nQWowT1ROQ3d2a0MtbzVqd3NsZHlTS0ZUM2hSYUVxZHZfVFZ0NTlaWUdEV1lLbGxrb3RYWlJDajBUS2R0aENTUkd0b3JnR3Vxa0NYV09kbG96TzEwWS1BeE9nNVNIRDVEVDdlZ9IB2gFBVV95cUxOaEhqSDRfeXdIYUdZYlZNcE1UVXAzNlFpWmN6b3F6U0dUbl9IaUF6blBqRDR3QWVkbThMZ0lGVDhCZ3lDaG5SVHZXV1lxLTdUNkpDOU1XbXBISXVZb09yZGEwdGEtdVB2S1N3bmNiVHc4bFNiYnVaWmlfRGNnTm9rOHBreHNCQXJJbFp4dGtqaHlCUko0MzNrS2VVMl8zZzZBS2RMZjlnV3A4clJteEtVc09RcDg2NDJOb2drR0VyZUM3dFhZbzV5UHBrcmNYS2RKYzZuUm8wVG42Zw?oc=5
market,Adobe Stock Looks Cheap as AI Spending Reshapes US Large Cap Growth - simplywall.st,simplywall.st,rejected,not on automated source allowlist,rejected,not on automated source allowlist,12.0,0.0,stock,ai,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPMHpXY1Q4RzNidUFRWTJ4ekl0NmNuUk50cW55OUNDeTEtZzhPTVdoOGpEQjVPeFpabHBseFBDZWsxck5WTGd1Y1k2SC1Nd0QxVHF3ZWZLME9ZTTlDOElIS3dOd3RhWE4xU05vaW82YnZIaEN4QUlNR3VrZVVCNnZqSDVtclRJM3dMSmJXOHQ4azJ6eV83SF9yNTVwYUstX0dsZFMwSUlzdVg3QXpSTDdUd1pqaUI1bHRyTmdIczhybFEtQdIBxwFBVV95cUxQdVpvdWZkX3lXeVhmREp4bjRKT1BtQjEzZGJOWFgwalZ0cEMwTkpYcWk3T1JOZm1pU09VSkFrZFVmR0JOeWREOGF1ZlJWenVvaEhmQk5UNlVlRnFfb1RyMGl6QkNpMV9kMUJQVEdRY01EcWlWZUw2blF4WXhtYkpPMWhSNmFzaVNrMkVzVm4wRGJickRJTTU5OHBsaWtqWEhUU2hySmFDZWZKNnRieGc5TjFaeEpJQTNVdW9sSm5wdmxCa1pTQTRj?oc=5
