id,name,lon,lat,announced_date,rfs_date,status,confidence,country,region,operator_id,tenant,source_url,sources,mw_source,est_mw_low,est_mw_mid,est_mw_high,notes
talen-susquehanna-pa,Talen Susquehanna (AWS),-76.01,40.21,2024-03-04,2024,operational,verified,US,US-PA,talen,amazon,https://www.talenenergy.com/news/talen-energy-completes-sale-cumulus-data,curated,announcement,1920.0,1920.0,1920.0,Behind-the-meter nuclear PPA with AWS; 960MW initial
homer-city-pa,Homer City Redevelopment,-79.6,40.53,2025-04-01,2027,announced,verified,US,US-PA,homer-city,multiple,https://homercityredevelopment.com,curated,announcement,4500.0,4500.0,4500.0,4.5GW gas-fired AI campus on retired coal site
xai-colossus-1-tn,xAI Colossus Memphis,-90.05,35.05,2024-07-22,2024-09-01,operational,verified,US,US-TN,xai,xai,https://en.wikipedia.org/wiki/Colossus_(supercomputer),curated,announcement,250.0,250.0,250.0,100k H100 cluster brought online in 122 days
xai-colossus-2-tn,xAI Colossus 2,-90.07,34.95,2024-12-01,2026,construction,verified,US,US-TN,xai,xai,https://en.wikipedia.org/wiki/Colossus_(supercomputer),curated,announcement,1000.0,1000.0,1000.0,1M GPU target; Musk announced Dec 2024
microsoft-mt-pleasant-wi,Microsoft Mount Pleasant,-87.9,42.72,2024-05-08,2026,construction,verified,US,US-WI,microsoft,openai,https://news.microsoft.com/source/features/innovation/wisconsin-investment,curated,announcement,900.0,900.0,900.0,Foxconn site converted to Azure AI campus
microsoft-mt-shadow-va,Microsoft Mt Shadow VA,-77.48,39.04,2018-01-01,2019,operational,verified,US,US-VA,microsoft,microsoft,https://datacenters.microsoft.com/globe,curated,announcement,100.0,100.0,100.0,Loudoun County Azure region
google-council-bluffs-ia,Google Council Bluffs,-95.863822,41.221486,2007-04-01,2009,operational,verified,US,US-IA,google,google,https://www.google.com/about/datacenters/locations/council-bluffs,curated|osm,announcement,650.0,650.0,650.0,Largest Google US datacenter; multiple expansions
google-the-dalles-or,Google The Dalles,-121.201302,45.632048,2005-02-01,2006,operational,verified,US,US-OR,google,google,https://www.google.com/about/datacenters/locations/the-dalles,curated|osm,announcement,300.0,300.0,300.0,First Google-owned datacenter
google-lenoir-nc,Google Lenoir,-81.546515,35.894738,2007-01-01,2008,operational,verified,US,US-NC,google,google,https://www.google.com/about/datacenters/locations/lenoir,curated|osm,announcement,200.0,200.0,200.0,Caldwell County NC
google-henderson-nv,Google Henderson,-115.008577,36.056288,2018-09-01,2020,operational,verified,US,US-NV,google,google,https://www.google.com/about/datacenters/locations/henderson,curated|osm,announcement,150.0,150.0,150.0,Nevada cloud region
google-midlothian-tx,Google Midlothian,-97.063333,32.443555,2019-12-01,2021,operational,verified,US,US-TX,google,google,https://www.google.com/about/datacenters/locations/midlothian,curated|osm,announcement,200.0,200.0,200.0,Ellis County TX
google-moncks-corner-sc,Google Moncks Corner,-80.043575,33.064157,2007-04-01,2008,operational,verified,US,US-SC,google,google,https://www.google.com/about/datacenters/locations/moncks-corner,curated|osm,announcement,200.0,200.0,200.0,Berkeley County SC
google-pryor-creek-ok,Google Pryor Creek,-95.330061,36.241139,2007-08-01,2011,operational,verified,US,US-OK,google,google,https://www.google.com/about/datacenters/locations/pryor,curated,announcement,300.0,300.0,300.0,Mayes County OK
google-new-albany-oh,Google New Albany,-82.758169,40.063562,2019-09-01,2022,operational,verified,US,US-OH,google,google,https://www.google.com/about/datacenters/locations/new-albany,curated|osm,announcement,200.0,200.0,200.0,Columbus metro
google-papillion-ne,Google Papillion,-96.144073,41.13492,2019-05-01,2021,operational,verified,US,US-NE,google,google,https://www.google.com/about/datacenters/locations/papillion,curated|osm,announcement,150.0,150.0,150.0,Sarpy County NE
google-atlanta-ga,Google Atlanta,-84.585223,33.75059,2018-03-01,2019,operational,verified,US,US-GA,google,google,https://www.google.com/about/datacenters/locations/douglas-county,curated|osm,announcement,150.0,150.0,150.0,Douglas County GA
oracle-cloud-arizona,Oracle Cloud Arizona,-112.07,33.43,2018-01-01,2019,operational,verified,US,US-AZ,oracle,oracle,https://www.oracle.com/cloud/data-regions,curated,announcement,400.0,400.0,400.0,Phoenix region
qts-ashburn-va,QTS Ashburn VA,-77.53,39.02,2018-01-01,2020,operational,verified,US,US-VA,qts,multiple,https://www.qtsdatacenters.com/data-centers/ashburn,curated,announcement,450.0,450.0,450.0,Loudoun County VA flagship
equinix-dc11-ashburn,Equinix DC11 Ashburn,-77.54,39.01,2014-01-01,2015,operational,verified,US,US-VA,equinix,multiple,https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/washington-data-centers/dc11,curated,announcement,32.0,32.0,32.0,Ashburn IBX
digitalrealty-ord11-elk-grove,Digital Realty ORD11 Elk Grove,-87.997,41.985,2014-06-01,2015,operational,verified,US,US-IL,digitalrealty,multiple,https://www.digitalrealty.com/data-centers/americas/chicago,curated,announcement,47.0,47.0,47.0,Chicago metro
vantage-frontier-tx,Vantage Frontier,-99.19,32.7,2024-09-01,2026,construction,verified,US,US-TX,vantage,multiple,https://vantage-dc.com/news/vantage-frontier-texas,curated,announcement,1400.0,1400.0,1400.0,Abilene-area West Texas campus
coreweave-plano-tx,CoreWeave Plano,-96.7,33.02,2023-01-01,2024,operational,verified,US,US-TX,coreweave,multiple,https://www.coreweave.com/blog/coreweave-plano-data-center,curated,announcement,60.0,60.0,60.0,Texas neocloud site
nebius-vineland-nj,Nebius Vineland NJ,-75.026,39.486,2024-09-30,2025,construction,verified,US,US-NJ,nebius,multiple,https://nebius.com/blog/posts/nebius-launches-vineland-new-jersey,curated,announcement,300.0,300.0,300.0,First US Nebius site
crusoe-abilene-tx-2,Crusoe Abilene Phase 2,-99.74,32.45,2025-03-01,2026,construction,verified,US,US-TX,crusoe,openai,https://crusoe.ai/news/abilene-expansion,curated,announcement,800.0,800.0,800.0,Phase 2 expansion of Stargate I
applied-digital-ellendale-nd,Applied Digital Ellendale,-98.5217,46.0,2024-06-01,2025,construction,verified,US,US-ND,applied-digital,multiple,https://www.applieddigital.com/news/applied-digital-ellendale-hpc,curated,announcement,400.0,400.0,400.0,400MW HPC campus North Dakota
iren-childress-tx,IREN Childress,-100.204,34.4262,2023-01-01,2024,operational,verified,US,US-TX,iris-energy,multiple,https://iren.com/data-centers/childress,curated,announcement,750.0,750.0,750.0,Iris Energy Bitcoin + AI hybrid; expanding to AI
microsoft-quincy-wa,Microsoft Quincy,-119.8526,47.2376,2006-09-01,2007,operational,verified,US,US-WA,microsoft,microsoft,https://datacenters.microsoft.com/globe,curated,announcement,800.0,800.0,800.0,Original Azure US-West campus
amazon-columbus-oh,AWS Columbus Ohio,-83.1141,40.0992,2016-10-17,2016,operational,verified,US,US-OH,amazon,amazon,https://aws.amazon.com/about-aws/global-infrastructure/regions_az,curated,announcement,500.0,500.0,500.0,us-east-2 region
meta-eagle-mountain-ut,Meta Eagle Mountain,-112.0103,40.3144,2018-04-25,2020,operational,verified,US,US-UT,meta,meta,https://about.fb.com/news/2018/04/eagle-mountain-data-center,curated,announcement,400.0,400.0,400.0,Utah hyperscale
