Scope,Question ID,Question,Answer ID,Answer,Measure 1 Header,Measure 1,Measure 1 Standard Error Header,Measure 1 Standard Error,Measure 1 Status,Measure 2 Header,Measure 2,Measure 2 Standard Error Header,Measure 2 Standard Error,Measure 2 Status,Source Sheet,Source Row,Reference Start,Reference End
1,9,"In the last six months, did this business's employees use Generative AI to assist in any work-related tasks? (Generative AI is a type of Artificial Intelligence that uses prompts or other inputs to create text, images, music, videos, or code. Some examples of Generative AI include ChatGPT, Gemini, Copilot, Claude, Dall E, MidJourney, and GitHub Copilot.)",3,Do not know,Estimate,12.4,SE,0.08,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,47,2025-11-17,2026-02-08
1,11,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",1,Yes,Estimate,21.6,SE,0.09,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,58,2025-11-17,2026-02-08
1,11,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",2,No,Estimate,56.2,SE,0.15,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,59,2025-11-17,2026-02-08
1,11,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",3,Do not know,Estimate,22.2,SE,0.18,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,60,2025-11-17,2026-02-08
2,3,"In the last six months, did this business use Artificial Intelligence (AI) to do any of the following?",1,Perform a task previously done by an employee,Estimate,10.1,SE,0.15,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,20,2025-11-17,2026-02-08
2,3,"In the last six months, did this business use Artificial Intelligence (AI) to do any of the following?",2,Supplement or enhance a task performed by an employee,Estimate,43.7,SE,0.15,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,21,2025-11-17,2026-02-08
2,3,"In the last six months, did this business use Artificial Intelligence (AI) to do any of the following?",3,Introduce a new task not previously done by an employee,Estimate,10.6,SE,0.22,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,22,2025-11-17,2026-02-08
2,3,"In the last six months, did this business use Artificial Intelligence (AI) to do any of the following?",4,None of the above,Estimate,51.5,SE,0.15,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,23,2025-11-17,2026-02-08
2,5,"In the last six months, did this business use Artificial Intelligence (AI) to perform operations previously performed by existing software or equipment?",1,Yes,Estimate,16.1,SE,0.17,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,27,2025-11-17,2026-02-08
2,5,"In the last six months, did this business use Artificial Intelligence (AI) to perform operations previously performed by existing software or equipment?",2,No,Estimate,59.3,SE,0.27,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,28,2025-11-17,2026-02-08
2,5,"In the last six months, did this business use Artificial Intelligence (AI) to perform operations previously performed by existing software or equipment?",3,Do not know,Estimate,24.6,SE,0.17,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,29,2025-11-17,2026-02-08
2,6,"In the last six months, how did the use of Artificial Intelligence (AI) affect this business's total employment?",1,Increased,Estimate,2.3,SE,0.08,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,30,2025-11-17,2026-02-08
2,6,"In the last six months, how did the use of Artificial Intelligence (AI) affect this business's total employment?",2,Decreased,Estimate,2.0,SE,0.09,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,31,2025-11-17,2026-02-08
2,6,"In the last six months, how did the use of Artificial Intelligence (AI) affect this business's total employment?",3,No change,Estimate,95.7,SE,0.14,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,32,2025-11-17,2026-02-08
2,7,"In the last six months, to use Artificial Intelligence (AI), what changes did this business make?",1,Trained current staff to use AI,Estimate,15.0,SE,0.23,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,33,2025-11-17,2026-02-08
2,7,"In the last six months, to use Artificial Intelligence (AI), what changes did this business make?",2,Hired staff trained in AI,Estimate,1.3,SE,0.05,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,34,2025-11-17,2026-02-08
2,7,"In the last six months, to use Artificial Intelligence (AI), what changes did this business make?",3,Purchased computing power or specialized equipment or software,Estimate,8.2,SE,0.16,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,35,2025-11-17,2026-02-08
2,7,"In the last six months, to use Artificial Intelligence (AI), what changes did this business make?",4,Purchased cloud services or cloud storage,Estimate,8.5,SE,0.18,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,36,2025-11-17,2026-02-08
2,7,"In the last six months, to use Artificial Intelligence (AI), what changes did this business make?",5,Changed data collection or data management practices,Estimate,6.8,SE,0.16,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,37,2025-11-17,2026-02-08
2,7,"In the last six months, to use Artificial Intelligence (AI), what changes did this business make?",6,Developed new workflows,Estimate,15.4,SE,0.18,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,38,2025-11-17,2026-02-08
2,7,"In the last six months, to use Artificial Intelligence (AI), what changes did this business make?",7,Used vendors or consulting services to install or integrate AI,Estimate,3.8,SE,0.09,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,39,2025-11-17,2026-02-08
2,7,"In the last six months, to use Artificial Intelligence (AI), what changes did this business make?",8,Other,Estimate,4.8,SE,0.13,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,40,2025-11-17,2026-02-08
2,7,"In the last six months, to use Artificial Intelligence (AI), what changes did this business make?",9,This business did not make any changes to use AI,Estimate,64.3,SE,0.24,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,41,2025-11-17,2026-02-08
3,4,"In the last six months, how many tasks previously done by employees were instead performed by Artificial Intelligence (AI)?",1,A small number,Estimate,70.9,SE,0.73,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,24,2025-11-17,2026-02-08
3,4,"In the last six months, how many tasks previously done by employees were instead performed by Artificial Intelligence (AI)?",2,A moderate number,Estimate,22.0,SE,0.99,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,25,2025-11-17,2026-02-08
3,4,"In the last six months, how many tasks previously done by employees were instead performed by Artificial Intelligence (AI)?",3,A large number,Estimate,7.1,SE,0.47,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,26,2025-11-17,2026-02-08
4,10,"In the last six months, what work-related tasks did this business's employees use Generative AI to assist with?",1,"Information processing, paperwork, or filing",Estimate,34.7,SE,0.3,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,48,2025-11-17,2026-02-08
4,10,"In the last six months, what work-related tasks did this business's employees use Generative AI to assist with?",2,"Writing or editing documents, emails, or communications",Estimate,85.4,SE,0.25,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,49,2025-11-17,2026-02-08
4,10,"In the last six months, what work-related tasks did this business's employees use Generative AI to assist with?",3,"Interpreting, analyzing, translating, or summarizing documents",Estimate,44.6,SE,0.28,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,50,2025-11-17,2026-02-08
4,10,"In the last six months, what work-related tasks did this business's employees use Generative AI to assist with?",4,Customer support,Estimate,15.5,SE,0.22,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,51,2025-11-17,2026-02-08
4,10,"In the last six months, what work-related tasks did this business's employees use Generative AI to assist with?",5,"Developing or researching new projects, processes, or products",Estimate,30.0,SE,0.22,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,52,2025-11-17,2026-02-08
4,10,"In the last six months, what work-related tasks did this business's employees use Generative AI to assist with?",6,Searching for information or technical help,Estimate,49.9,SE,0.22,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,53,2025-11-17,2026-02-08
4,10,"In the last six months, what work-related tasks did this business's employees use Generative AI to assist with?",7,Software coding or debugging,Estimate,12.7,SE,0.23,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,54,2025-11-17,2026-02-08
4,10,"In the last six months, what work-related tasks did this business's employees use Generative AI to assist with?",8,Data analysis or visualization,Estimate,19.1,SE,0.28,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,55,2025-11-17,2026-02-08
4,10,"In the last six months, what work-related tasks did this business's employees use Generative AI to assist with?",9,"Tutoring, training, or learning",Estimate,16.1,SE,0.26,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,56,2025-11-17,2026-02-08
4,10,"In the last six months, what work-related tasks did this business's employees use Generative AI to assist with?",10,Other tasks,Estimate,6.1,SE,0.2,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,57,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",1,"Production of goods (e.g., making or assembling products, construction)",Estimate,,SE,,missing,Estimate - Yes,8.1,SE - Yes,0.16,observed,National Response Estimates,61,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",2,"Provision of services, products, or merchandise (e.g., providing services, products, or merchandise to customers)",Estimate,,SE,,missing,Estimate - Yes,32.4,SE - Yes,0.39,observed,National Response Estimates,62,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",3,Strategy and business development,Estimate,,SE,,missing,Estimate - Yes,57.4,SE - Yes,0.42,observed,National Response Estimates,63,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",4,Finance and accounting,Estimate,,SE,,missing,Estimate - Yes,36.5,SE - Yes,0.28,observed,National Response Estimates,64,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",5,Sales and marketing,Estimate,,SE,,missing,Estimate - Yes,62.8,SE - Yes,0.56,observed,National Response Estimates,65,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",6,Customer service,Estimate,,SE,,missing,Estimate - Yes,40.0,SE - Yes,0.38,observed,National Response Estimates,66,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",7,Research and development,Estimate,,SE,,missing,Estimate - Yes,48.3,SE - Yes,0.32,observed,National Response Estimates,67,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",8,Information technology,Estimate,,SE,,missing,Estimate - Yes,47.3,SE - Yes,0.28,observed,National Response Estimates,68,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",9,Human resources,Estimate,,SE,,missing,Estimate - Yes,21.6,SE - Yes,0.23,observed,National Response Estimates,69,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",10,Public relations and communication,Estimate,,SE,,missing,Estimate - Yes,43.8,SE - Yes,0.37,observed,National Response Estimates,70,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",11,Management and administration,Estimate,,SE,,missing,Estimate - Yes,38.2,SE - Yes,0.29,observed,National Response Estimates,71,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",12,"Sourcing, supply chains, and purchasing",Estimate,,SE,,missing,Estimate - Yes,14.6,SE - Yes,0.18,observed,National Response Estimates,72,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",13,Quality management and control,Estimate,,SE,,missing,Estimate - Yes,18.3,SE - Yes,0.22,observed,National Response Estimates,73,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",14,Distribution,Estimate,,SE,,missing,Estimate - Yes,6.3,SE - Yes,0.13,observed,National Response Estimates,74,2025-11-17,2026-02-08
5,12,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of the following business functions?",15,Legal and compliance,Estimate,,SE,,missing,Estimate - Yes,32.3,SE - Yes,0.34,observed,National Response Estimates,75,2025-11-17,2026-02-08
6,13,Why does this business not plan to use Artificial Intelligence (AI) during the next six months?,1,Too expensive,Estimate,6.9,SE,0.11,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,76,2025-11-17,2026-02-08
6,13,Why does this business not plan to use Artificial Intelligence (AI) during the next six months?,2,AI is not a mature enough technology yet,Estimate,13.0,SE,0.09,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,77,2025-11-17,2026-02-08
6,13,Why does this business not plan to use Artificial Intelligence (AI) during the next six months?,3,Lack of knowledge on the capabilities of AI,Estimate,22.0,SE,0.17,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,78,2025-11-17,2026-02-08
6,13,Why does this business not plan to use Artificial Intelligence (AI) during the next six months?,4,Concerns about privacy/security,Estimate,20.7,SE,0.17,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,79,2025-11-17,2026-02-08
6,13,Why does this business not plan to use Artificial Intelligence (AI) during the next six months?,5,Concerns about bias,Estimate,8.6,SE,0.12,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,80,2025-11-17,2026-02-08
6,13,Why does this business not plan to use Artificial Intelligence (AI) during the next six months?,6,Lack of skilled workforce,Estimate,7.1,SE,0.07,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,81,2025-11-17,2026-02-08
6,13,Why does this business not plan to use Artificial Intelligence (AI) during the next six months?,7,Lack of required data,Estimate,5.1,SE,0.07,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,82,2025-11-17,2026-02-08
6,13,Why does this business not plan to use Artificial Intelligence (AI) during the next six months?,8,Laws and regulations prevent or restrict use of AI,Estimate,2.8,SE,0.08,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,83,2025-11-17,2026-02-08
6,13,Why does this business not plan to use Artificial Intelligence (AI) during the next six months?,9,Previous or current use of AI did not meet expectations,Estimate,3.2,SE,0.05,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,84,2025-11-17,2026-02-08
6,13,Why does this business not plan to use Artificial Intelligence (AI) during the next six months?,10,AI is not applicable to this business,Estimate,61.6,SE,0.24,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,85,2025-11-17,2026-02-08
6,13,Why does this business not plan to use Artificial Intelligence (AI) during the next six months?,11,Other,Estimate,7.9,SE,0.14,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,86,2025-11-17,2026-02-08
